"top","left","date","qtr","time_remaining","result","shot_type","distance_ft","lead","lebron_team_score","opponent_team_score","opponent"
125,265,19349,4,662,0,2,8,0,31,33,4
113,413,19349,4,629,0,2,18,0,31,36,4
84,12,19349,4,511,0,3,23,0,34,42,4
322,247,19349,4,486,1,3,27,0,37,44,4
81,226,19349,4,138,1,2,3,0,55,58,4
304,137,19349,4,3,1,3,27,0,67,67,4
213,119,19349,5,543,1,2,20,0,69,77,4
239,415,19349,5,493,0,3,26,0,69,80,4
169,137,19349,6,661,0,2,16,0,89,99,4
58,240,19349,6,513,1,2,1,0,100,107,4
318,256,19349,6,486,0,3,27,0,100,107,4
300,296,19349,6,411,1,3,25,0,103,112,4
70,222,19349,6,348,1,2,2,0,109,114,4
80,218,19349,6,292,1,2,4,0,111,114,4
236,423,19349,6,267,1,3,26,0,114,117,4
69,248,19349,6,148,1,2,2,0,121,124,4
65,237,19349,6,112,1,2,1,0,123,126,4
62,243,19349,6,42,1,2,1,0,130,130,4
58,255,19351,2,678,0,2,2,1,3,0,6
157,213,19351,2,615,1,2,11,1,7,5,6
72,237,19351,2,600,1,2,2,1,9,5,6
253,125,19351,2,519,0,2,23,1,11,6,6
73,217,19351,2,500,1,2,3,1,13,6,6
79,207,19351,2,471,1,2,4,1,15,6,6
54,86,19351,2,373,1,2,15,1,19,9,6
323,374,19351,2,2,0,3,30,1,28,21,6
62,228,19351,4,687,1,2,1,1,30,24,6
320,222,19351,4,626,0,3,27,1,30,24,6
153,205,19351,4,465,0,2,11,1,37,28,6
123,234,19351,4,441,1,2,7,1,39,30,6
68,221,19351,4,416,1,2,2,1,41,30,6
46,85,19351,4,376,0,2,16,1,41,30,6
72,340,19351,4,212,1,2,10,1,43,35,6
180,68,19351,5,633,1,2,21,1,56,46,6
256,87,19351,5,569,0,3,25,1,58,49,6
183,382,19351,5,418,1,2,19,1,63,60,6
175,394,19351,6,559,1,2,20,0,87,99,6
213,168,19351,6,499,0,2,18,0,87,101,6
80,236,19351,6,477,1,2,3,0,89,101,6
253,82,19351,6,233,0,3,26,0,103,119,6
62,252,19351,6,220,0,2,1,0,103,121,6
178,124,19353,2,621,0,2,17,0,0,1,20
37,399,19353,2,592,1,2,16,0,3,3,20
251,84,19353,2,434,0,3,25,1,8,7,20
66,244,19353,2,300,1,2,1,1,18,15,20
152,423,19353,2,271,0,2,21,0,18,18,20
74,212,19353,4,693,1,2,4,1,35,27,20
69,246,19353,4,615,1,2,2,1,37,31,20
318,262,19353,4,567,0,3,27,1,39,31,20
262,87,19353,4,422,0,3,26,1,47,39,20
80,249,19353,4,86,1,2,3,1,63,51,20
75,340,19353,5,624,1,2,10,1,70,59,20
277,97,19353,5,572,0,3,27,1,72,60,20
128,218,19353,5,551,0,2,8,1,72,60,20
305,112,19353,5,488,0,3,28,1,73,63,20
118,473,19353,5,457,0,3,24,1,73,66,20
71,266,19353,5,425,1,2,3,1,75,68,20
57,248,19353,5,381,1,2,1,1,79,68,20
74,265,19353,5,356,0,2,3,1,79,68,20
69,266,19353,5,207,1,2,3,1,86,77,20
141,208,19353,5,179,1,2,9,1,88,77,20
223,442,19353,6,383,0,3,26,1,109,96,20
78,403,19353,6,370,0,2,17,1,109,96,20
69,261,19353,6,313,1,2,3,1,113,98,20
75,221,19353,6,199,1,2,3,1,118,103,20
141,333,19354,2,683,1,2,13,1,2,0,14
338,220,19354,2,620,0,3,29,1,5,3,14
279,122,19354,2,568,1,3,26,1,8,7,14
208,132,19354,2,453,1,2,19,0,10,13,14
263,84,19354,2,418,1,3,26,0,13,13,14
77,77,19354,4,523,0,2,17,0,33,37,14
67,240,19354,4,473,1,2,1,0,37,37,14
145,222,19354,4,131,0,2,9,0,48,53,14
307,262,19354,4,56,0,3,26,0,50,56,14
72,224,19354,5,532,1,2,2,0,57,68,14
268,88,19354,5,444,0,3,26,0,58,73,14
56,252,19354,5,394,1,2,1,0,60,73,14
52,252,19354,6,596,1,2,1,0,83,95,14
61,221,19354,6,524,1,2,2,0,88,98,14
64,259,19354,6,465,0,2,2,0,90,102,14
57,257,19354,6,449,0,2,2,0,92,102,14
59,205,19354,6,326,0,2,4,0,92,105,14
58,257,19354,6,297,1,2,2,0,94,105,14
213,221,19356,2,651,0,2,16,1,2,0,1
144,77,19356,2,612,0,2,19,0,2,2,1
59,474,19356,2,581,0,3,23,0,2,4,1
59,237,19356,2,539,1,2,1,0,4,6,1
80,263,19356,2,290,0,2,4,0,12,18,1
123,249,19356,4,699,0,2,7,0,23,33,1
303,313,19356,4,655,1,3,26,0,26,36,1
67,242,19356,4,488,1,2,1,0,32,43,1
172,291,19356,4,365,0,2,13,0,39,52,1
61,239,19356,4,282,1,2,1,0,47,57,1
71,238,19356,4,214,1,2,2,0,53,59,1
69,239,19356,4,48,1,2,2,0,60,67,1
67,239,19356,4,22,1,2,1,0,62,67,1
62,338,19356,5,602,1,2,10,0,66,69,1
53,240,19356,5,471,1,2,0,0,68,74,1
52,242,19356,5,441,1,2,0,0,70,77,1
48,235,19356,5,266,1,2,1,1,82,81,1
53,242,19356,5,194,0,2,0,1,84,83,1
53,240,19356,5,191,1,2,0,1,86,83,1
54,236,19356,5,143,1,2,0,1,91,87,1
168,468,19356,6,637,1,3,26,1,103,101,1
274,123,19356,6,449,1,3,25,1,108,105,1
389,212,19356,6,402,0,3,34,1,108,105,1
67,108,19356,6,346,0,2,13,1,108,107,1
285,142,19356,6,223,1,3,25,1,117,113,1
54,212,19356,6,138,1,2,3,1,119,113,1
74,283,19356,6,103,1,2,5,1,122,116,1
113,210,19359,2,527,1,2,7,1,9,5,4
210,254,19359,2,466,1,2,16,1,14,5,4
309,216,19359,2,439,0,3,26,1,14,7,4
243,414,19359,2,333,0,3,26,1,18,12,4
72,257,19359,2,292,0,2,3,1,18,12,4
71,254,19359,4,574,1,2,2,1,31,21,4
82,312,19359,4,547,1,2,8,1,34,21,4
209,233,19359,4,511,0,2,16,1,34,21,4
331,243,19359,4,497,0,3,28,1,34,21,4
64,245,19359,4,481,1,2,1,1,36,21,4
63,281,19359,4,393,1,2,4,1,38,24,4
63,223,19359,4,271,1,2,2,1,43,31,4
69,236,19359,4,105,1,2,2,1,52,39,4
205,122,19359,4,32,1,2,19,1,56,45,4
73,172,19359,5,706,1,2,7,1,62,45,4
61,228,19359,5,635,0,2,1,1,64,47,4
179,119,19359,5,595,1,2,18,1,66,47,4
68,223,19359,5,518,1,2,2,1,73,50,4
223,155,19359,5,488,0,2,19,1,74,53,4
59,233,19359,5,456,1,2,1,1,76,54,4
105,191,19359,5,221,1,2,7,1,85,68,4
267,98,19359,6,557,0,3,26,1,95,84,4
58,226,19359,6,468,1,2,2,1,101,88,4
302,217,19359,6,409,0,3,25,1,101,91,4
128,112,19359,6,183,0,2,15,1,107,96,4
68,254,19359,6,121,1,2,2,1,112,100,4
163,385,19363,2,595,0,2,18,1,9,2,1
78,292,19363,2,518,0,2,6,1,12,6,1
87,239,19363,2,370,1,2,3,1,20,13,1
98,258,19363,2,247,1,2,5,1,26,17,1
276,90,19363,2,12,0,3,27,1,37,28,1
72,254,19363,4,554,0,2,2,1,45,30,1
79,248,19363,4,540,1,2,3,1,47,30,1
81,247,19363,4,201,1,2,3,1,62,36,1
288,335,19363,4,140,0,3,25,1,62,37,1
93,52,19363,5,690,0,2,19,1,70,49,1
250,79,19363,5,582,0,3,25,1,73,57,1
258,404,19363,5,510,0,3,26,1,76,59,1
318,220,19363,5,415,1,3,27,1,81,66,1
86,237,19363,5,271,1,2,3,1,88,71,1
216,212,19363,6,677,0,2,17,1,98,85,1
76,240,19363,6,532,1,2,2,1,106,90,1
73,244,19363,6,499,1,2,2,1,108,90,1
74,241,19363,6,449,1,2,2,1,113,92,1
83,248,19363,6,386,1,2,3,1,115,96,1
64,226,19364,2,612,0,2,2,1,7,4,24
294,166,19364,2,406,1,3,25,1,17,13,24
264,106,19364,2,375,0,3,25,1,17,16,24
300,196,19364,2,340,0,3,25,1,17,16,24
67,189,19364,4,667,0,2,5,0,37,40,24
98,278,19364,4,611,1,2,6,0,41,46,24
146,252,19364,4,572,1,2,9,0,44,46,24
170,262,19364,4,550,0,2,12,0,44,46,24
57,246,19364,4,511,1,2,1,1,48,46,24
62,476,19364,4,446,0,3,24,0,50,50,24
58,221,19364,4,392,1,2,2,0,52,54,24
63,267,19364,4,344,0,2,3,0,52,60,24
57,225,19364,4,172,1,2,2,0,64,64,24
77,269,19364,4,117,0,2,4,0,66,66,24
53,10,19364,5,660,0,3,23,0,75,78,24
51,258,19364,5,631,0,2,2,0,75,81,24
63,253,19364,5,607,1,2,2,0,79,81,24
66,215,19364,5,433,1,2,3,0,87,90,24
92,222,19364,5,291,0,2,4,0,96,97,24
66,247,19364,5,266,1,2,1,1,98,97,24
66,223,19364,5,1,1,2,2,0,109,109,24
312,201,19364,6,620,0,3,26,1,113,111,24
58,259,19364,6,560,1,2,2,1,117,111,24
68,217,19364,6,426,1,2,3,1,122,113,24
74,197,19364,6,238,0,2,5,0,126,126,24
116,229,19364,6,215,1,2,6,0,128,128,24
48,378,19364,6,132,0,2,14,0,130,130,24
56,263,19364,6,48,1,2,2,0,132,132,24
74,238,19369,2,697,1,2,2,1,2,0,6
65,177,19369,2,601,0,2,6,0,2,4,6
88,200,19369,2,574,0,2,5,0,2,4,6
89,240,19369,2,571,1,2,4,0,4,4,6
69,276,19369,2,294,0,2,4,0,10,19,6
323,141,19369,4,576,0,3,29,0,27,40,6
81,234,19369,4,504,1,2,3,0,32,40,6
81,242,19369,4,470,1,2,3,0,34,43,6
134,268,19369,4,429,0,2,9,0,34,43,6
83,255,19369,4,151,0,2,3,0,46,55,6
214,132,19369,5,589,0,2,19,0,52,65,6
53,240,19369,5,419,1,2,0,0,59,71,6
68,236,19369,5,365,1,2,2,0,63,73,6
117,235,19369,5,304,0,2,6,0,63,77,6
91,3,19369,5,151,0,3,24,0,70,79,6
148,265,19369,5,112,0,2,10,0,72,81,6
88,240,19369,5,108,1,2,4,0,74,81,6
55,262,19369,6,403,0,2,2,0,87,89,6
63,238,19369,6,330,1,2,1,0,89,91,6
296,162,19369,6,289,0,3,26,0,89,93,6
53,240,19369,6,207,1,2,0,0,91,95,6
68,236,19369,6,42,0,2,2,1,99,98,6
303,111,19369,1,38,0,3,28,0,108,108,6
63,218,19369,1,0,0,2,2,0,108,108,6
286,96,19369,3,225,0,3,27,0,108,110,6
83,214,19369,3,97,0,2,4,0,113,116,6
238,413,19369,3,20,0,3,25,0,115,118,6
359,207,19369,3,7,0,3,31,0,115,119,6
88,172,19372,2,702,1,2,8,1,2,0,21
166,28,19372,2,618,0,3,24,0,2,3,21
63,238,19372,2,528,1,2,1,0,6,7,21
194,202,19372,2,508,1,2,15,1,8,7,21
96,432,19372,2,477,1,2,20,0,10,10,21
60,238,19372,2,415,1,2,1,1,14,12,21
250,213,19372,2,343,1,2,20,1,20,17,21
64,242,19372,2,91,1,2,1,0,28,29,21
50,236,19372,2,59,1,2,0,0,30,31,21
204,302,19372,4,444,0,2,17,1,43,40,21
60,243,19372,4,62,1,2,1,0,54,57,21
61,247,19372,4,43,1,2,1,0,56,57,21
305,187,19372,5,555,0,3,26,0,61,63,21
217,418,19372,5,491,1,3,24,0,64,67,21
201,323,19372,5,351,1,2,17,0,69,69,21
191,72,19372,5,38,0,2,22,0,81,86,21
308,209,19372,6,678,0,3,26,0,85,88,21
52,246,19372,6,601,1,2,1,1,90,88,21
50,242,19372,6,576,0,2,0,1,90,88,21
242,402,19372,6,547,0,3,25,1,90,89,21
47,244,19372,6,520,1,2,1,1,92,91,21
228,172,19372,6,199,1,2,19,0,105,106,21
203,144,19372,6,140,0,2,18,1,107,106,21
250,403,19373,2,618,1,3,26,1,8,4,10
97,240,19373,2,543,1,2,5,1,13,10,10
167,189,19373,2,521,0,2,13,1,13,10,10
67,248,19373,2,411,1,2,2,0,18,18,10
68,217,19373,4,646,0,2,3,1,38,35,10
69,240,19373,4,630,0,2,2,1,40,35,10
50,240,19373,4,625,1,2,0,1,42,35,10
298,352,19373,4,512,1,3,27,1,52,39,10
141,422,19373,4,423,0,2,20,1,54,46,10
74,233,19373,4,59,1,2,3,1,70,60,10
66,249,19373,4,36,1,2,2,1,73,60,10
218,205,19373,5,682,1,2,17,1,75,63,10
296,293,19373,5,564,1,3,25,1,81,71,10
295,112,19373,5,535,1,3,28,1,84,71,10
283,82,19373,5,504,0,3,28,1,84,73,10
72,378,19373,5,370,0,2,14,1,88,75,10
91,226,19373,5,230,1,2,4,1,95,81,10
248,402,19373,6,618,1,3,26,1,111,98,10
275,403,19373,6,588,0,3,28,1,111,100,10
78,253,19373,6,583,1,2,3,1,113,100,10
272,373,19373,6,472,0,3,26,1,117,107,10
288,147,19373,6,367,0,3,26,1,119,111,10
119,202,19373,6,287,1,2,8,1,121,116,10
208,327,19373,6,178,1,2,18,1,129,124,10
264,71,19373,6,96,0,3,27,1,131,129,10
163,371,19373,6,50,1,2,17,1,135,131,10
235,249,19375,2,705,1,2,19,1,2,0,24
212,42,19375,2,662,1,3,26,1,5,2,24
66,268,19375,2,451,1,2,3,1,15,9,24
273,378,19375,2,430,0,3,26,1,15,11,24
83,240,19375,2,338,1,2,3,1,19,16,24
67,258,19375,4,688,1,2,2,1,41,30,24
166,217,19375,4,629,0,2,12,1,41,32,24
181,124,19375,4,596,1,2,17,1,43,32,24
266,386,19375,4,337,0,3,26,1,49,45,24
243,324,19375,4,286,0,2,21,1,51,45,24
332,242,19375,4,60,0,3,28,0,56,57,24
62,258,19375,5,647,1,2,2,0,62,63,24
228,259,19375,5,594,1,2,18,0,64,65,24
112,470,19375,5,390,1,3,24,0,72,74,24
306,165,19375,5,372,0,3,27,0,72,74,24
139,379,19375,5,330,0,2,17,0,72,77,24
131,360,19375,5,239,1,2,14,0,74,81,24
73,82,19375,5,208,0,2,16,0,74,84,24
265,98,19375,6,514,0,3,26,0,94,97,24
64,257,19375,6,450,0,2,2,0,97,98,24
155,46,19375,6,369,0,2,22,0,101,101,24
124,465,19375,6,216,0,3,24,0,103,106,24
57,259,19375,6,109,0,2,2,0,103,108,24
73,240,19375,6,70,1,2,2,0,107,108,24
260,384,19375,6,36,0,3,25,0,108,111,24
293,111,19377,2,678,0,3,28,0,0,0,13
139,193,19377,2,571,0,2,10,0,0,2,13
183,350,19377,2,478,1,2,17,0,6,7,13
67,468,19377,2,339,1,3,23,1,12,9,13
63,240,19377,2,318,1,2,1,1,14,9,13
322,152,19377,2,0,0,3,29,1,26,23,13
210,202,19377,4,657,0,2,16,1,27,26,13
234,181,19377,4,616,0,2,19,0,27,28,13
281,358,19377,4,587,0,3,26,0,27,30,13
83,231,19377,4,574,0,2,3,0,27,32,13
88,238,19377,4,402,1,2,4,0,38,41,13
64,212,19377,4,113,1,2,3,0,47,49,13
177,303,19377,4,45,0,2,14,0,49,53,13
91,250,19377,5,570,0,2,4,0,57,60,13
69,233,19377,5,444,1,2,2,0,65,66,13
84,247,19377,5,391,0,2,3,0,65,70,13
91,243,19377,5,45,0,2,4,0,75,88,13
74,259,19377,6,361,0,2,3,0,97,103,13
72,259,19377,6,187,1,2,3,0,106,112,13
50,240,19377,6,57,1,2,0,0,115,118,13
334,291,19377,6,27,0,3,29,0,115,118,13
51,252,19379,2,707,1,2,1,1,2,0,23
343,234,19379,2,627,1,3,29,1,10,2,23
345,243,19379,2,598,1,3,30,1,13,2,23
328,102,19379,2,457,0,3,31,1,18,9,23
200,172,19379,2,435,1,2,16,1,20,9,23
61,293,19379,2,395,0,2,5,1,20,11,23
158,340,19379,2,335,0,2,15,1,22,14,23
128,120,19379,2,40,1,2,14,1,32,26,23
89,287,19379,4,682,1,2,6,1,35,26,23
254,378,19379,4,504,0,3,25,1,38,36,23
56,77,19379,4,487,0,2,16,1,38,36,23
61,260,19379,4,441,1,2,2,0,40,42,23
299,132,19379,4,1,0,3,27,0,46,71,23
308,117,19379,5,691,0,3,29,0,47,71,23
73,147,19379,5,641,0,2,10,0,49,71,23
51,232,19379,5,610,1,2,1,0,51,73,23
254,62,19379,5,506,0,3,27,0,55,78,23
58,242,19379,5,436,1,2,1,0,62,79,23
62,265,19379,5,401,1,2,3,0,64,79,23
48,242,19379,5,280,1,2,0,0,74,81,23
47,236,19379,5,198,1,2,1,0,80,88,23
61,261,19379,5,172,1,2,2,0,82,88,23
62,152,19379,5,81,0,2,9,0,84,88,23
82,171,19379,6,186,1,2,8,1,112,105,23
168,173,19381,2,687,0,2,14,0,0,2,12
65,223,19381,2,540,1,2,2,0,2,9,12
285,339,19381,2,406,1,3,26,0,13,17,12
331,295,19381,2,378,0,3,29,0,13,20,12
105,221,19381,4,704,1,2,6,0,32,37,12
253,67,19381,4,602,1,3,27,0,36,44,12
83,240,19381,4,451,0,2,3,0,39,51,12
277,97,19381,4,86,1,3,27,0,50,67,12
273,121,19381,4,43,0,3,25,0,51,71,12
295,118,19381,4,13,1,3,27,0,54,74,12
91,221,19381,5,713,0,2,5,0,54,77,12
50,240,19381,5,709,1,2,0,0,56,77,12
301,177,19381,5,570,0,3,26,0,59,81,12
77,242,19381,5,565,1,2,3,0,61,81,12
88,263,19381,5,486,0,2,4,0,64,85,12
148,469,19381,5,447,1,3,25,0,67,85,12
182,474,19381,5,364,1,3,27,0,72,88,12
258,390,19381,5,268,0,3,26,0,74,90,12
58,245,19381,5,249,0,2,1,0,74,90,12
63,247,19381,5,245,1,2,1,0,76,90,12
66,47,19381,6,677,0,2,19,0,82,100,12
272,393,19381,6,655,1,3,27,0,85,103,12
307,213,19381,6,593,1,3,26,0,90,105,12
93,263,19381,6,514,0,2,5,0,93,109,12
69,247,19381,6,493,1,2,2,0,95,111,12
81,234,19381,6,471,1,2,3,0,97,111,12
281,358,19381,6,406,1,3,26,0,103,113,12
82,243,19381,6,360,0,2,3,0,103,113,12
243,423,19381,6,343,0,3,27,0,103,116,12
64,233,19382,2,560,1,2,2,1,8,5,25
78,200,19382,2,423,0,2,5,1,15,13,25
71,258,19382,2,354,0,2,3,0,15,17,25
140,362,19382,4,690,1,2,15,0,27,32,25
315,249,19382,4,540,0,3,27,0,32,39,25
56,234,19382,4,515,1,2,1,0,34,42,25
208,148,19382,4,454,1,2,18,0,38,44,25
97,263,19382,4,432,1,2,5,0,40,44,25
160,243,19382,4,126,0,2,11,0,49,54,25
232,329,19382,5,684,1,2,20,0,55,56,25
308,256,19382,5,650,0,3,26,0,55,58,25
301,173,19382,5,603,0,3,26,0,57,60,25
76,252,19382,5,493,0,2,3,1,64,62,25
263,404,19382,6,677,0,3,27,0,81,85,25
58,279,19382,6,621,0,2,4,0,84,85,25
105,261,19382,6,577,0,2,6,0,86,87,25
138,236,19382,6,574,1,2,9,1,88,87,25
270,374,19382,6,513,1,3,26,1,91,89,25
188,106,19382,6,403,0,2,19,1,99,89,25
326,298,19382,6,172,0,3,28,1,107,95,25
313,164,19385,2,662,0,3,27,1,3,0,2
71,299,19385,2,627,1,2,6,1,5,0,2
54,217,19385,2,537,1,2,2,1,7,4,2
351,147,19385,2,428,1,3,31,1,12,9,2
226,354,19385,2,347,0,2,21,1,14,13,2
57,259,19385,2,291,0,2,2,0,14,16,2
61,268,19385,2,290,1,2,3,0,16,16,2
47,240,19385,4,432,1,2,0,0,33,36,2
251,293,19385,4,343,0,2,21,1,37,36,2
228,254,19385,4,177,0,2,18,0,43,43,2
305,243,19385,4,155,1,3,26,1,46,45,2
323,205,19385,4,131,0,3,28,1,46,45,2
121,290,19385,5,617,0,2,9,0,54,54,2
325,293,19385,5,579,1,3,28,1,59,56,2
259,72,19385,5,512,1,3,27,1,65,56,2
75,242,19385,5,484,1,2,3,1,67,56,2
271,82,19385,5,442,0,3,27,1,67,59,2
238,147,19385,5,411,0,2,21,1,67,59,2
118,142,19385,5,332,0,2,12,1,69,62,2
73,246,19385,5,329,1,2,2,1,71,62,2
149,4,19385,6,661,0,3,26,0,81,81,2
330,251,19385,6,571,1,3,28,1,89,83,2
262,82,19385,6,535,0,3,26,1,89,83,2
243,389,19385,6,176,1,3,24,1,99,98,2
78,220,19385,6,0,0,2,3,0,105,105,2
72,265,19385,1,283,1,2,3,0,107,107,2
304,177,19385,1,256,0,3,26,0,107,110,2
108,157,19385,1,194,0,2,10,0,107,113,2
92,192,19385,1,167,1,2,6,0,111,115,2
116,308,19385,1,37,1,2,9,0,116,119,2
57,221,19388,2,648,0,2,2,0,2,2,18
52,234,19388,2,522,1,2,1,1,8,3,18
256,101,19388,2,433,0,3,25,1,10,5,18
61,112,19388,2,399,0,2,13,1,10,5,18
56,245,19388,2,296,1,2,1,1,13,5,18
274,130,19388,4,652,0,3,25,1,29,26,18
61,101,19388,4,579,0,2,14,0,31,31,18
182,31,19388,4,483,0,3,25,0,31,32,18
46,253,19388,4,136,1,2,1,0,45,51,18
136,258,19388,4,47,1,2,9,0,49,51,18
199,333,19388,5,704,0,2,18,0,52,53,18
277,348,19388,5,416,1,3,25,1,68,66,18
285,346,19388,5,388,0,3,26,1,68,66,18
158,110,19388,5,356,1,2,17,1,73,68,18
274,237,19388,5,270,0,2,22,1,73,72,18
151,264,19388,5,86,1,2,10,1,83,81,18
292,167,19388,5,41,0,3,25,1,86,81,18
164,240,19388,6,544,1,2,11,1,97,92,18
54,238,19388,6,329,0,2,0,1,107,102,18
290,163,19388,6,101,1,3,25,1,114,108,18
272,192,19388,6,72,0,2,23,1,114,110,18
294,192,19388,6,39,0,3,25,1,114,112,18
53,221,19388,1,285,1,2,2,1,116,114,18
92,217,19388,1,116,0,2,5,1,123,118,18
51,231,19388,1,19,1,2,1,1,127,121,18
63,432,19390,2,691,0,2,19,0,0,0,11
72,210,19390,2,621,0,2,4,0,0,2,11
321,219,19390,2,551,0,3,27,0,0,4,11
326,271,19390,2,358,1,3,28,0,14,15,11
62,226,19390,4,706,1,2,2,0,32,35,11
73,108,19390,4,587,1,2,13,0,38,40,11
323,197,19390,4,513,0,3,28,0,38,44,11
71,398,19390,4,347,1,2,16,0,44,54,11
72,263,19390,4,315,1,2,3,0,46,54,11
123,391,19390,4,262,0,2,17,0,48,54,11
52,219,19390,5,611,1,2,2,0,64,71,11
61,253,19390,5,514,1,2,2,0,68,75,11
123,262,19390,5,426,0,2,8,0,70,77,11
58,221,19390,5,353,1,2,2,0,72,82,11
61,261,19390,6,507,1,2,2,0,92,98,11
58,253,19390,6,368,1,2,2,0,98,104,11
174,12,19390,6,155,1,3,26,1,108,106,11
108,311,19390,6,88,0,2,9,0,108,109,11
263,373,19390,6,80,0,3,25,0,108,109,11
318,166,19392,2,673,0,3,28,1,2,0,17
182,233,19392,2,609,0,2,13,1,7,4,17
149,152,19392,2,258,1,2,13,1,22,17,17
88,363,19392,4,684,0,2,13,1,32,30,17
257,78,19392,4,659,0,3,26,0,32,32,17
263,93,19392,4,553,1,3,26,1,42,37,17
183,125,19392,4,444,0,2,18,1,44,43,17
58,238,19392,4,178,1,2,1,1,61,51,17
54,255,19392,4,97,1,2,2,1,65,56,17
103,258,19392,5,508,1,2,6,1,81,72,17
72,243,19392,5,489,1,2,2,1,84,72,17
318,198,19392,5,461,0,3,27,1,84,75,17
175,306,19392,5,411,0,2,14,1,87,77,17
54,248,19392,5,209,1,2,1,1,94,85,17
293,355,19392,5,171,0,3,27,1,94,88,17
239,80,19392,6,707,0,3,25,1,106,103,17
158,147,19392,6,587,0,2,14,0,108,108,17
43,265,19392,6,434,1,2,3,0,113,116,17
57,226,19392,6,348,1,2,2,0,118,118,17
52,227,19392,6,293,0,2,1,0,118,120,17
210,42,19392,6,52,0,3,25,0,123,129,17
57,226,19392,6,12,1,2,2,0,126,131,17
117,243,19395,2,703,0,2,7,0,0,0,19
189,243,19395,2,598,0,2,14,1,5,3,19
133,21,19395,2,423,1,3,23,1,14,11,19
308,136,19395,2,371,0,3,28,1,15,13,19
89,233,19395,2,340,1,2,4,1,17,13,19
79,242,19395,2,290,1,2,3,1,19,15,19
67,236,19395,4,699,0,2,2,0,34,36,19
81,282,19395,4,653,1,2,5,1,39,37,19
83,229,19395,4,619,1,2,4,1,42,40,19
297,224,19395,4,472,1,3,25,0,48,50,19
91,377,19395,5,686,0,2,14,0,66,76,19
291,344,19395,5,509,1,3,26,0,75,84,19
308,202,19395,5,476,1,3,26,0,78,84,19
76,258,19395,5,311,1,2,3,0,82,92,19
58,261,19395,5,273,0,2,2,0,82,92,19
75,252,19395,5,120,1,2,3,0,93,100,19
78,237,19395,5,66,1,2,3,0,97,102,19
179,192,19395,5,10,1,2,14,0,99,104,19
69,467,19395,6,446,0,3,23,0,106,116,19
67,240,19395,6,111,1,2,2,0,118,129,19
212,335,19403,2,679,1,2,19,1,5,0,17
281,97,19403,2,630,0,3,27,1,8,0,17
68,238,19403,4,581,1,2,2,1,45,32,17
322,296,19403,4,207,0,3,28,1,53,44,17
279,140,19403,5,646,0,3,25,1,56,53,17
78,237,19403,5,620,1,2,3,1,58,55,17
64,228,19403,5,533,1,2,2,1,65,56,17
304,207,19403,5,42,0,3,26,1,82,71,17
68,245,19403,6,671,1,2,2,1,91,75,17
78,253,19403,6,652,0,2,3,1,91,75,17
81,242,19403,6,636,1,2,3,1,95,75,17
58,260,19403,6,539,1,2,2,1,97,82,17
161,292,19403,6,488,0,2,12,1,98,84,17
190,33,19403,6,456,0,3,25,1,101,84,17
66,224,19411,2,704,0,2,2,0,0,0,9
